,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
44,51.08.04.2013,Banjar,Banjar,Buleleng,Bali,89.04,2.65,1.70,6.62,87.83,3.13,1.69,7.35,88.49,2.86,1.73,6.92,86.90,3.44,1.82,7.83,100.00,0.00,0.00,0.00,99.70,0.25,0.02,0.02,0.01
45,51.02.06.2015,Banjar Anyar,Kediri,Tabanan,Bali,90.96,2.22,2.03,4.79,89.88,2.44,1.82,5.86,90.41,2.53,1.73,5.33,89.24,2.71,1.76,6.29,100.00,0.00,0.00,0.00,99.47,0.48,0.02,0.02,0.01
46,51.08.06.1027,Banjar Bali,Buleleng,Buleleng,Bali,70.48,10.00,9.05,10.48,63.33,15.24,6.67,14.76,67.14,12.38,6.67,13.81,57.14,20.48,7.14,15.24,100.00,0.00,0.00,0.00,99.33,0.56,0.05,0.04,0.02
47,51.08.06.1023,Banjar Jawa,Buleleng,Buleleng,Bali,79.36,8.80,5.60,6.24,75.04,10.56,5.44,8.96,76.48,9.28,5.92,8.32,73.12,10.56,6.56,9.76,100.00,0.00,0.00,0.00,99.46,0.43,0.04,0.04,0.03
48,51.08.06.1007,Banjar Tegal,Buleleng,Buleleng,Bali,87.94,3.36,2.32,6.38,86.66,4.06,2.20,7.08,87.24,3.83,1.97,6.96,83.76,4.41,3.60,8.24,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.03,0.01
49,51.08.04.2012,Banjar Tegeha,Banjar,Buleleng,Bali,88.90,2.40,1.77,6.94,87.77,2.02,2.52,7.69,88.52,1.89,2.27,7.31,87.26,1.77,2.52,8.45,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
50,51.01.01.1008,Banjar Tengah,Negara,Jembrana,Bali,72.34,18.87,8.02,0.78,64.81,21.90,12.12,1.17,69.01,19.65,10.56,0.78,59.53,23.75,13.69,3.03,52.17,47.83,0.00,0.00,99.51,0.40,0.04,0.03,0.02
51,51.05.02.2003,Banjarangkan,Banjarangkan,Klungkung,Bali,93.22,2.51,0.68,3.59,91.63,3.39,1.08,3.91,92.38,3.19,0.68,3.75,91.15,3.59,1.40,3.87,100.00,0.00,0.00,0.00,99.52,0.40,0.03,0.03,0.01
52,51.08.02.2019,Banjarasem,Seririt,Buleleng,Bali,70.98,12.03,7.65,9.35,66.07,14.11,8.29,11.53,68.78,12.51,8.07,10.65,64.97,14.05,8.03,12.95,100.00,0.00,0.00,0.00,99.37,0.55,0.04,0.03,0.02
53,51.06.04.2042,Bantang,Kintamani,Bangli,Bali,92.82,0.51,0.57,6.11,92.36,0.51,0.60,6.53,92.60,0.47,0.60,6.33,91.84,0.71,0.61,6.84,100.00,0.00,0.00,0.00,99.61,0.31,0.03,0.03,0.02
54,51.02.02.2003,Bantas,Selemadeg Timur,Tabanan,Bali,84.84,2.77,2.38,10.01,83.50,3.33,2.32,10.85,84.11,3.16,2.24,10.49,83.02,3.24,2.38,11.36,100.00,0.00,0.00,0.00,99.46,0.46,0.03,0.03,0.02
55,51.06.04.2012,Banua,Kintamani,Bangli,Bali,89.24,0.91,1.37,8.48,87.69,0.82,1.09,10.39,88.42,1.09,0.73,9.75,86.60,1.00,0.64,11.76,100.00,0.00,0.00,0.00,99.56,0.39,0.02,0.02,0.01
56,51.01.01.2003,Banyu Biru,Negara,Jembrana,Bali,76.89,10.13,8.03,4.94,74.86,8.70,9.90,6.54,75.88,9.71,8.82,5.60,73.90,8.19,10.21,7.71,58.11,17.57,6.76,17.57,99.58,0.33,0.04,0.03,0.02
57,51.08.06.1006,Banyuasri,Buleleng,Buleleng,Bali,81.52,7.83,5.65,5.00,79.11,8.52,6.11,6.25,79.85,8.43,5.65,6.07,76.10,9.26,6.81,7.83,91.67,8.33,0.00,0.00,99.38,0.53,0.04,0.03,0.02
58,51.08.04.2004,Banyuatis,Banjar,Buleleng,Bali,87.66,0.92,0.95,10.47,87.44,0.57,0.98,11.01,87.50,0.60,0.98,10.91,87.03,0.73,0.82,11.42,100.00,0.00,0.00,0.00,99.65,0.30,0.02,0.02,0.01
59,51.08.06.1019,Banyuning,Buleleng,Buleleng,Bali,79.41,11.62,5.28,3.69,76.82,11.52,6.71,4.95,77.77,11.71,6.06,4.46,73.37,12.42,7.96,6.25,97.81,2.19,0.00,0.00,99.54,0.39,0.03,0.02,0.01
60,51.08.01.2005,Banyupoh,Gerokgak,Buleleng,Bali,89.32,2.53,1.88,6.26,87.99,2.78,2.10,7.13,88.57,2.68,1.97,6.79,86.96,2.74,2.43,7.87,97.98,2.02,0.00,0.00,99.64,0.32,0.02,0.01,0.01
61,51.08.04.2001,Banyuseri,Banjar,Buleleng,Bali,91.12,0.93,0.80,7.15,90.62,1.03,1.03,7.32,90.79,1.16,0.86,7.18,90.22,1.13,1.03,7.62,100.00,0.00,0.00,0.00,99.71,0.27,0.01,0.01,0.00
62,51.02.07.2016,Baru,Marga,Tabanan,Bali,94.24,1.49,1.01,3.26,93.61,1.80,1.09,3.50,93.90,1.67,1.01,3.42,93.15,1.88,1.25,3.71,100.00,0.00,0.00,0.00,99.55,0.42,0.02,0.01,0.01
