,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
201,51.01.04.2004,Ekasari,Melaya,Jembrana,Bali,85.98,3.31,2.66,8.06,84.57,3.53,2.80,9.10,85.32,3.45,2.63,8.60,83.55,3.67,2.99,9.79,100.00,0.00,0.00,0.00,99.63,0.30,0.03,0.03,0.02
202,51.02.02.2002,Gadungan,Selemadeg Timur,Tabanan,Bali,89.32,2.56,2.35,5.78,88.41,2.72,2.44,6.43,88.90,2.57,2.43,6.11,87.90,2.84,2.34,6.92,100.00,0.00,0.00,0.00,99.50,0.42,0.03,0.03,0.02
203,51.02.02.2010,Gadungsari,Selemadeg Timur,Tabanan,Bali,90.03,1.41,1.52,7.03,89.50,1.25,1.52,7.73,89.70,1.50,1.50,7.31,88.95,1.63,1.36,8.06,100.00,0.00,0.00,0.00,99.58,0.36,0.02,0.02,0.02
204,51.08.07.2002,Galungan,Sawan,Buleleng,Bali,93.59,1.04,0.96,4.41,92.95,1.09,1.08,4.88,93.15,1.05,1.04,4.76,92.40,1.09,0.97,5.54,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.00
205,51.07.03.2001,Gegelang,Manggis,Karangasem,Bali,87.76,2.07,2.09,8.08,86.73,2.06,2.08,9.13,87.41,2.06,2.01,8.52,86.37,2.02,2.17,9.45,100.00,0.00,0.00,0.00,99.49,0.43,0.03,0.02,0.01
206,51.05.03.2003,Gelgel,Klungkung,Klungkung,Bali,89.89,6.17,2.90,1.05,88.24,6.21,4.08,1.47,89.20,6.28,3.32,1.20,87.53,5.88,4.79,1.80,25.00,20.37,6.48,48.15,99.46,0.47,0.03,0.02,0.01
207,51.02.07.2015,Geluntung,Marga,Tabanan,Bali,92.64,1.83,1.56,3.96,92.15,1.45,2.32,4.08,92.38,1.75,1.71,4.15,91.73,1.45,2.32,4.50,100.00,0.00,0.00,0.00,99.49,0.44,0.03,0.02,0.01
208,51.08.01.2009,Gerokgak,Gerokgak,Buleleng,Bali,91.06,2.97,1.73,4.24,89.57,3.29,2.19,4.94,90.41,3.10,1.92,4.56,88.90,3.49,2.24,5.36,99.28,0.72,0.00,0.00,99.70,0.26,0.02,0.01,0.00
209,51.08.04.2005,Gesing,Banjar,Buleleng,Bali,93.97,0.63,0.70,4.69,93.49,0.74,0.76,5.02,93.61,0.68,0.76,4.95,93.24,0.84,0.75,5.17,100.00,0.00,0.00,0.00,99.73,0.25,0.01,0.01,0.00
210,51.05.02.2006,Getakan,Banjarangkan,Klungkung,Bali,93.32,1.41,1.17,4.10,92.43,1.67,1.23,4.67,93.03,1.57,1.25,4.15,91.39,2.35,1.30,4.96,100.00,0.00,0.00,0.00,99.48,0.42,0.04,0.04,0.02
211,51.03.04.2005,Getasan,Petang,Badung,Bali,95.10,0.52,0.29,4.09,94.18,0.78,0.43,4.61,94.59,0.60,0.52,4.29,93.72,0.72,0.46,5.10,100.00,0.00,0.00,0.00,99.45,0.46,0.05,0.03,0.01
212,51.04.03.1006,Gianyar,Gianyar,Gianyar,Bali,89.18,5.94,2.34,2.54,87.14,6.51,3.40,2.95,88.57,6.10,2.62,2.70,85.87,6.88,3.85,3.40,100.00,0.00,0.00,0.00,99.48,0.47,0.03,0.02,0.01
213,51.08.07.2014,Giri Emas,Sawan,Buleleng,Bali,79.98,12.90,3.47,3.65,78.30,13.61,3.73,4.36,79.27,13.12,3.47,4.14,76.58,13.65,4.77,5.00,98.36,1.64,0.00,0.00,99.42,0.49,0.04,0.03,0.02
214,51.08.05.2004,Gitgit,Sukasada,Buleleng,Bali,93.97,0.73,0.60,4.70,93.45,0.73,0.65,5.17,93.84,0.52,0.70,4.93,93.35,0.65,0.57,5.43,100.00,0.00,0.00,0.00,99.69,0.29,0.01,0.01,0.00
215,51.08.04.2007,Gobleg,Banjar,Buleleng,Bali,92.72,1.73,1.00,4.55,92.21,1.41,1.55,4.83,92.41,1.74,1.11,4.75,91.73,1.62,1.48,5.17,100.00,0.00,0.00,0.00,99.62,0.34,0.02,0.01,0.01
216,51.02.05.2002,Gubug,Tabanan,Tabanan,Bali,87.03,3.36,2.87,6.74,85.61,3.72,3.12,7.56,86.40,3.57,2.80,7.22,84.81,3.91,3.02,8.26,100.00,0.00,0.00,0.00,99.49,0.44,0.03,0.02,0.01
217,51.03.02.2012,Gulingan,Mengwi,Badung,Bali,85.10,3.64,3.88,7.38,84.17,3.76,3.86,8.21,84.76,3.67,3.89,7.67,83.53,3.89,3.79,8.79,100.00,0.00,0.00,0.00,99.43,0.46,0.04,0.04,0.03
218,51.01.03.2006,Gumbrih,Pekutatan,Jembrana,Bali,88.91,2.00,2.08,7.01,88.11,2.03,2.16,7.70,88.48,1.98,2.09,7.45,87.54,2.09,2.18,8.19,84.43,6.01,1.64,7.92,99.75,0.21,0.02,0.02,0.01
219,51.05.04.2005,Gunaksa,Dawan,Klungkung,Bali,87.68,7.24,1.91,3.17,86.16,8.21,2.11,3.51,87.16,7.60,1.96,3.29,84.90,8.93,2.47,3.70,49.75,3.98,1.00,45.27,99.46,0.48,0.03,0.03,0.01
220,51.02.02.2001,Gunung Salak,Selemadeg Timur,Tabanan,Bali,90.97,2.14,1.63,5.27,90.35,2.14,1.78,5.74,90.68,2.12,1.71,5.48,89.79,2.16,1.91,6.14,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
221,51.06.04.2033,Gunungbau,Kintamani,Bangli,Bali,89.45,0.84,0.84,8.87,88.92,0.96,0.84,9.29,89.04,0.90,1.02,9.05,88.74,0.54,0.84,9.89,100.00,0.00,0.00,0.00,99.67,0.28,0.02,0.02,0.01
222,51.08.02.2006,Gunungsari,Seririt,Buleleng,Bali,82.90,1.65,1.02,14.43,81.91,1.65,1.35,15.09,82.63,1.53,1.23,14.61,81.82,1.38,1.38,15.42,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
223,51.04.01.2003,Guwang,Sukawati,Gianyar,Bali,80.06,12.08,4.77,3.08,74.14,14.32,6.95,4.59,77.43,13.44,5.53,3.60,70.73,15.53,8.19,5.56,0.00,17.11,5.26,77.63,99.36,0.53,0.05,0.04,0.02
224,51.03.03.2004,Jagapati,Abiansemal,Badung,Bali,77.49,5.96,5.32,11.23,68.37,5.52,5.42,20.69,75.52,6.11,5.62,12.76,44.98,8.18,7.39,39.46,100.00,0.00,0.00,0.00,99.42,0.49,0.04,0.03,0.02
225,51.08.07.2009,Jagaraga,Sawan,Buleleng,Bali,93.32,0.74,0.79,5.16,92.83,0.87,0.74,5.56,92.98,0.83,0.76,5.43,92.30,1.06,0.76,5.88,100.00,0.00,0.00,0.00,99.43,0.47,0.04,0.03,0.02
226,51.02.08.2013,Jatiluwih,Penebel,Tabanan,Bali,92.88,0.87,0.81,5.44,92.45,0.85,0.77,5.94,92.63,0.77,0.85,5.75,92.17,0.91,0.73,6.19,100.00,0.00,0.00,0.00,99.79,0.19,0.01,0.01,0.00
227,51.02.08.2002,Jegu,Penebel,Tabanan,Bali,86.97,2.58,1.80,8.65,86.35,2.31,1.78,9.56,86.69,2.53,1.73,9.04,85.85,2.26,1.87,10.02,100.00,0.00,0.00,0.00,99.55,0.39,0.02,0.02,0.01
228,51.06.03.2001,Jehem,Tembuku,Bangli,Bali,93.30,0.84,0.71,5.15,92.83,0.93,0.70,5.55,93.12,0.83,0.75,5.30,92.41,1.02,0.79,5.78,100.00,0.00,0.00,0.00,99.58,0.35,0.03,0.02,0.01
229,51.02.10.2010,Jelijih Punggung,Pupuan,Tabanan,Bali,89.23,1.00,1.07,8.70,88.71,1.22,1.05,9.03,89.04,1.08,1.07,8.80,88.47,1.24,1.04,9.25,100.00,0.00,0.00,0.00,99.68,0.27,0.03,0.02,0.01
230,51.03.05.1006,Jimbaran,Kuta Selatan,Badung,Bali,85.06,8.14,3.81,3.00,83.09,8.39,5.02,3.50,83.76,8.33,4.61,3.29,81.19,8.55,5.98,4.27,50.08,7.30,1.53,41.09,99.51,0.42,0.03,0.02,0.01
231,51.08.06.2018,Jinangdalem,Buleleng,Buleleng,Bali,86.43,4.75,3.25,5.57,84.36,5.00,3.64,7.00,85.15,5.18,3.25,6.43,82.83,5.00,4.18,8.00,100.00,0.00,0.00,0.00,99.47,0.46,0.03,0.02,0.02
232,51.08.02.2010,Joanyar,Seririt,Buleleng,Bali,92.41,2.70,2.57,2.31,91.98,2.74,2.40,2.87,92.03,2.70,2.44,2.83,91.73,2.83,2.36,3.09,100.00,0.00,0.00,0.00,99.45,0.43,0.04,0.03,0.05
233,51.08.09.2003,Julah,Tejakula,Buleleng,Bali,92.16,2.19,1.66,3.99,91.15,2.19,1.97,4.68,91.68,2.18,1.85,4.28,90.35,2.22,2.05,5.38,94.87,5.13,0.00,0.00,99.53,0.37,0.04,0.04,0.02
234,51.05.03.2005,Jumpai,Klungkung,Klungkung,Bali,83.12,12.74,2.45,1.69,81.60,12.08,4.46,1.85,82.31,12.96,2.94,1.80,80.78,12.08,5.12,2.01,0.00,0.00,2.50,97.50,99.40,0.52,0.04,0.03,0.01
235,51.07.06.2005,Jungutan,Bebandem,Karangasem,Bali,95.20,0.83,0.64,3.33,94.70,0.93,0.72,3.65,95.05,0.87,0.64,3.43,94.50,0.99,0.73,3.78,100.00,0.00,0.00,0.00,99.59,0.33,0.03,0.02,0.03
236,51.05.01.2013,Jungutbatu,Nusa Penida,Klungkung,Bali,85.39,7.88,4.19,2.53,83.52,8.33,4.93,3.22,84.32,8.14,4.64,2.90,82.38,8.28,5.45,3.88,9.68,15.48,6.45,68.39,99.44,0.46,0.04,0.04,0.03
237,51.02.06.2007,Kaba-kaba,Kediri,Tabanan,Bali,90.93,4.49,2.15,2.44,89.71,5.07,2.42,2.80,90.41,4.78,2.21,2.61,89.03,5.42,2.57,2.98,100.00,0.00,0.00,0.00,99.51,0.41,0.04,0.03,0.02
238,51.01.01.2004,Kaliakah,Negara,Jembrana,Bali,79.67,12.19,5.10,3.04,77.51,12.24,5.74,4.50,78.56,12.30,5.46,3.68,76.44,11.58,6.47,5.52,97.52,2.48,0.00,0.00,99.64,0.30,0.03,0.02,0.01
239,51.08.02.2009,Kalianget,Seririt,Buleleng,Bali,67.14,18.64,7.92,6.29,63.20,17.93,11.31,7.56,64.99,18.22,10.01,6.78,60.07,17.50,13.49,8.93,100.00,0.00,0.00,0.00,99.49,0.43,0.03,0.03,0.02
240,51.08.04.2017,Kaliasem,Banjar,Buleleng,Bali,82.74,8.31,5.31,3.64,80.38,8.60,6.64,4.38,81.74,8.29,6.01,3.96,78.72,8.49,7.30,5.50,95.78,4.22,0.00,0.00,99.54,0.40,0.03,0.02,0.01
241,51.08.06.2001,Kalibukbuk,Buleleng,Buleleng,Bali,82.47,9.16,4.68,3.69,79.90,10.56,5.20,4.35,81.13,9.85,5.09,3.94,78.80,9.93,6.26,5.01,98.80,1.20,0.00,0.00,99.50,0.42,0.04,0.03,0.02
242,51.08.02.2020,Kalisada,Seririt,Buleleng,Bali,68.66,22.41,7.38,1.56,58.94,26.88,11.88,2.31,64.25,24.13,9.56,2.06,56.63,24.63,15.19,3.56,88.89,11.11,0.00,0.00,99.47,0.45,0.04,0.03,0.02
243,51.08.06.1024,Kaliuntu,Buleleng,Buleleng,Bali,75.28,20.70,3.76,0.25,70.77,23.59,5.27,0.38,72.65,22.58,4.39,0.38,66.12,26.47,6.90,0.50,100.00,0.00,0.00,0.00,99.53,0.38,0.04,0.04,0.02
244,51.05.03.2007,Kamasan,Klungkung,Klungkung,Bali,92.09,5.72,1.87,0.31,90.74,6.35,2.39,0.52,91.16,6.45,1.98,0.42,89.91,6.56,2.39,1.14,100.00,0.00,0.00,0.00,99.40,0.51,0.04,0.03,0.02
245,51.08.06.1025,Kampung Anyar,Buleleng,Buleleng,Bali,75.51,22.04,2.45,0.00,72.24,21.63,6.12,0.00,70.61,21.63,7.76,0.00,67.35,20.00,12.65,0.00,100.00,0.00,0.00,0.00,99.47,0.42,0.04,0.04,0.04
246,51.08.06.1029,Kampung Baru,Buleleng,Buleleng,Bali,85.07,10.72,4.06,0.14,81.88,11.01,6.67,0.43,81.30,10.87,7.10,0.72,69.57,15.65,11.01,3.77,100.00,0.00,0.00,0.00,99.20,0.69,0.05,0.04,0.03
247,51.08.06.1026,Kampung Bugis,Buleleng,Buleleng,Bali,75.25,20.71,3.54,0.51,72.73,22.22,4.55,0.51,57.58,31.82,7.07,3.54,61.11,29.80,5.56,3.54,100.00,0.00,0.00,0.00,99.47,0.42,0.04,0.04,0.04
248,51.05.03.2004,Kampung Gelgel,Klungkung,Klungkung,Bali,86.44,6.78,5.08,1.69,85.59,6.78,5.93,1.69,86.44,6.78,5.08,1.69,84.75,6.78,5.93,2.54,100.00,0.00,0.00,0.00,99.51,0.43,0.03,0.02,0.01
249,51.08.06.1021,Kampung Kajanan,Buleleng,Buleleng,Bali,63.76,13.30,15.14,7.80,60.09,11.93,16.06,11.93,57.34,15.14,16.06,11.47,53.67,14.22,14.22,17.89,100.00,0.00,0.00,0.00,99.33,0.56,0.05,0.04,0.02
250,51.05.04.2007,Kampung Kusamba,Dawan,Klungkung,Bali,96.27,3.73,0.00,0.00,95.52,4.48,0.00,0.00,96.27,3.73,0.00,0.00,95.52,2.99,1.49,0.00,0.00,0.00,0.00,100.00,99.45,0.44,0.04,0.04,0.03
251,51.08.06.1010,Kampung Singaraja,Buleleng,Buleleng,Bali,96.77,0.00,3.23,0.00,93.55,3.23,3.23,0.00,96.77,0.00,3.23,0.00,90.32,6.45,0.00,3.23,100.00,0.00,0.00,0.00,99.44,0.46,0.04,0.04,0.02
252,51.05.01.2011,Kampung Toyapakeh,Nusa Penida,Klungkung,Bali,93.53,2.88,1.66,1.92,93.71,2.71,1.22,2.36,93.88,2.62,1.31,2.19,92.31,2.88,1.84,2.97,30.77,19.23,3.85,46.15,99.35,0.56,0.04,0.03,0.01
253,51.03.02.1004,Kapal,Mengwi,Badung,Bali,86.10,4.85,3.63,5.42,84.53,5.28,3.80,6.39,85.72,4.98,3.48,5.83,83.81,5.50,3.93,6.76,100.00,0.00,0.00,0.00,99.56,0.36,0.03,0.02,0.03
254,51.07.04.1004,Karangasem,Karangasem,Karangasem,Bali,88.74,4.58,2.82,3.86,86.68,5.58,3.05,4.69,87.00,5.84,2.99,4.17,85.47,6.16,3.33,5.05,95.73,2.37,1.90,0.00,99.34,0.55,0.05,0.04,0.03
255,51.02.10.2013,Karyasari,Pupuan,Tabanan,Bali,91.26,1.27,1.22,6.25,90.78,1.27,1.13,6.82,90.94,1.39,1.15,6.52,90.53,1.17,1.18,7.12,100.00,0.00,0.00,0.00,99.74,0.24,0.01,0.01,0.00
256,51.06.04.2011,Katung,Kintamani,Bangli,Bali,87.18,0.84,1.17,10.82,86.09,1.11,0.94,11.85,86.63,0.81,1.09,11.47,85.13,1.57,1.09,12.21,100.00,0.00,0.00,0.00,99.65,0.33,0.01,0.01,0.00
257,51.06.02.1004,Kawan,Bangli,Bangli,Bali,87.93,2.82,1.61,7.64,87.20,2.72,1.75,8.33,87.77,2.60,1.68,7.95,86.59,2.82,1.85,8.75,100.00,0.00,0.00,0.00,99.45,0.46,0.04,0.03,0.03
258,51.08.05.2015,Kayuputih,Sukasada,Buleleng,Bali,91.41,1.41,1.02,6.16,90.72,1.27,1.32,6.69,91.13,1.30,1.14,6.43,90.46,1.34,1.29,6.91,100.00,0.00,0.00,0.00,99.71,0.25,0.02,0.01,0.00
259,51.06.02.2007,Kayubihi,Bangli,Bangli,Bali,88.65,0.94,0.74,9.66,87.99,0.85,0.83,10.33,88.32,0.78,0.87,10.03,87.58,0.82,0.87,10.74,100.00,0.00,0.00,0.00,99.64,0.31,0.02,0.02,0.02
260,51.08.04.2003,Kayuputih,Banjar,Buleleng,Bali,90.86,1.68,1.62,5.84,90.30,1.54,1.64,6.51,90.50,1.56,1.68,6.25,89.85,1.70,1.44,7.00,100.00,0.00,0.00,0.00,99.54,0.39,0.03,0.02,0.01
261,51.02.10.2004,Kebon Padangan,Pupuan,Tabanan,Bali,88.01,1.49,1.36,9.14,87.38,1.53,1.41,9.67,87.71,1.53,1.37,9.39,87.06,1.53,1.41,9.99,100.00,0.00,0.00,0.00,99.70,0.27,0.02,0.01,0.00
262,51.04.05.2004,Kedewatan,Ubud,Gianyar,Bali,88.67,1.90,1.02,8.41,87.71,1.88,1.18,9.22,88.09,1.87,1.26,8.78,87.44,1.72,1.01,9.83,100.00,0.00,0.00,0.00,99.59,0.32,0.02,0.03,0.04
263,51.02.06.2013,Kediri,Kediri,Tabanan,Bali,88.68,4.51,2.43,4.38,87.86,4.78,2.28,5.09,88.28,4.62,2.37,4.73,87.27,4.55,2.32,5.86,100.00,0.00,0.00,0.00,99.48,0.44,0.03,0.03,0.02
264,51.08.03.2009,Kedis,Busungbiu,Buleleng,Bali,87.28,1.26,1.39,10.07,86.35,1.30,1.36,10.99,86.71,1.39,1.40,10.51,85.93,1.44,1.31,11.32,100.00,0.00,0.00,0.00,99.68,0.29,0.01,0.01,0.01
265,51.04.06.2004,Kedisan,Tegallalang,Gianyar,Bali,91.57,0.98,1.08,6.37,91.08,0.86,1.02,7.04,91.36,1.07,0.92,6.65,90.88,0.77,1.03,7.31,100.00,0.00,0.00,0.00,99.67,0.30,0.01,0.01,0.01
266,51.06.04.2018,Kedisan,Kintamani,Bangli,Bali,68.52,18.96,6.52,5.99,67.85,2.75,22.18,7.22,68.44,17.81,7.37,6.38,67.59,2.92,21.31,8.18,100.00,0.00,0.00,0.00,99.71,0.26,0.01,0.01,0.00
267,51.03.01.1003,Kedonganan,Kuta,Badung,Bali,90.43,6.93,1.95,0.70,88.91,7.28,2.84,0.97,89.26,7.47,2.37,0.89,87.51,8.25,3.04,1.21,0.00,0.00,1.75,98.25,99.37,0.52,0.05,0.04,0.02
268,51.03.02.2010,Kekeran,Mengwi,Badung,Bali,82.00,5.76,4.09,8.15,80.06,5.95,4.54,9.45,81.01,6.21,4.23,8.55,79.09,6.21,4.60,10.09,100.00,0.00,0.00,0.00,99.45,0.50,0.02,0.02,0.01
269,51.08.03.2010,Kekeran,Busungbiu,Buleleng,Bali,93.36,1.05,0.54,5.05,92.97,1.30,0.32,5.41,93.11,1.23,0.47,5.19,92.82,1.33,0.29,5.55,100.00,0.00,0.00,0.00,99.66,0.28,0.02,0.02,0.01
270,51.02.04.2002,Kelating,Kerambitan,Tabanan,Bali,88.36,4.14,2.71,4.78,86.51,4.38,3.49,5.62,87.53,4.19,3.17,5.11,86.21,4.73,3.52,5.54,1.16,18.60,6.98,73.26,99.51,0.42,0.03,0.03,0.01
271,51.04.06.2001,Keliki,Tegallalang,Gianyar,Bali,87.83,1.43,1.09,9.65,87.02,1.49,1.15,10.34,87.55,1.35,1.19,9.91,86.26,1.63,1.29,10.82,100.00,0.00,0.00,0.00,99.38,0.55,0.03,0.02,0.01
272,51.04.07.2002,Kelusa,Payangan,Gianyar,Bali,90.97,1.69,1.22,6.12,90.13,1.66,1.33,6.88,90.64,1.69,1.21,6.47,89.62,1.56,1.44,7.39,100.00,0.00,0.00,0.00,99.54,0.42,0.02,0.01,0.00
273,51.04.01.2008,Kemenuh,Sukawati,Gianyar,Bali,89.82,2.76,1.32,6.09,88.01,3.42,1.58,7.00,89.08,3.04,1.41,6.47,86.68,4.01,1.85,7.45,100.00,0.00,0.00,0.00,99.54,0.38,0.03,0.03,0.02
274,51.04.06.2003,Kenderan,Tegallalang,Gianyar,Bali,92.69,0.80,0.92,5.59,92.03,0.88,0.86,6.24,92.45,0.84,0.91,5.79,91.67,0.88,0.91,6.54,100.00,0.00,0.00,0.00,99.69,0.28,0.01,0.01,0.00
275,51.08.06.1008,Kendran,Buleleng,Buleleng,Bali,86.93,5.03,4.77,3.27,85.18,5.53,5.28,4.02,85.43,5.78,5.03,3.77,82.66,5.53,5.53,6.28,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.03,0.01
276,51.04.02.2003,Keramas,Blahbatuh,Gianyar,Bali,88.12,5.15,3.25,3.48,86.20,5.77,3.86,4.17,87.47,5.21,3.52,3.79,85.22,5.92,4.31,4.54,59.82,10.71,2.68,26.79,99.54,0.39,0.02,0.02,0.01
277,51.02.04.2006,Kerambitan,Kerambitan,Tabanan,Bali,89.07,2.33,2.11,6.49,88.27,2.51,1.88,7.35,88.72,2.33,2.39,6.55,87.81,2.51,1.99,7.69,100.00,0.00,0.00,0.00,99.54,0.34,0.04,0.04,0.03
278,51.03.06.1002,Kerobokan,Kuta Utara,Badung,Bali,84.88,6.28,4.21,4.63,82.41,6.96,4.69,5.94,84.04,6.56,4.21,5.19,81.63,7.30,4.89,6.18,0.00,7.69,11.97,80.34,99.54,0.40,0.02,0.02,0.02
279,51.08.07.2011,Kerobokan,Sawan,Buleleng,Bali,80.67,10.33,4.88,4.12,77.60,9.70,7.26,5.44,78.58,10.19,6.18,5.06,75.85,8.62,8.79,6.73,100.00,0.00,0.00,0.00,99.38,0.50,0.04,0.04,0.03
280,51.03.06.1003,Kerobokan Kaja,Kuta Utara,Badung,Bali,83.25,7.37,5.62,3.76,79.38,8.02,6.38,6.22,82.18,7.66,5.64,4.52,78.23,8.18,6.61,6.98,50.56,33.71,5.62,10.11,99.51,0.41,0.03,0.03,0.01
281,51.03.06.1001,Kerobokan Kelod,Kuta Utara,Badung,Bali,85.01,7.61,4.30,3.08,82.97,8.24,4.97,3.83,84.49,7.86,4.40,3.25,82.31,8.26,5.17,4.26,0.00,0.00,0.00,100.00,99.45,0.44,0.04,0.04,0.03
282,51.04.07.2006,Kerta,Payangan,Gianyar,Bali,91.44,0.74,0.76,7.06,91.02,0.75,0.72,7.51,91.22,0.77,0.72,7.28,90.73,0.88,0.72,7.67,100.00,0.00,0.00,0.00,99.69,0.29,0.01,0.01,0.00
283,51.07.02.2008,Kertha Buana,Sidemen,Karangasem,Bali,53.94,1.78,1.94,42.34,41.06,2.25,1.40,55.29,48.43,1.74,1.43,48.39,34.16,1.98,1.74,62.12,100.00,0.00,0.00,0.00,99.61,0.34,0.02,0.02,0.01
284,51.07.05.2010,Kertha Mandala,Abang,Karangasem,Bali,84.27,3.07,2.81,9.84,83.05,3.24,2.98,10.73,83.71,3.04,2.97,10.28,82.52,3.07,2.98,11.43,100.00,0.00,0.00,0.00,99.46,0.46,0.03,0.03,0.02
285,51.71.02.1003,Kesiman,Denpasar Timur,Kota Denpasar,Bali,83.08,13.76,2.86,0.30,80.74,15.06,3.81,0.38,82.40,14.32,2.95,0.32,80.21,15.30,4.11,0.38,9.09,7.79,9.09,74.03,99.38,0.49,0.05,0.05,0.03
286,51.71.02.2005,Kesiman Kertalangu,Denpasar Timur,Kota Denpasar,Bali,86.93,7.85,2.63,2.60,84.43,9.20,3.40,2.98,86.28,8.20,2.80,2.72,83.08,9.86,3.91,3.15,0.00,2.10,4.20,93.71,99.26,0.61,0.05,0.05,0.04
287,51.71.02.2004,Kesiman Petilan,Denpasar Timur,Kota Denpasar,Bali,85.91,6.35,4.00,3.73,85.29,6.14,4.25,4.33,85.72,6.25,4.08,3.95,85.02,6.19,4.43,4.35,6.98,9.30,4.65,79.07,99.41,0.51,0.04,0.03,0.01
288,51.07.05.2013,Kesimpar,Abang,Karangasem,Bali,92.42,2.74,1.69,3.15,91.78,2.74,2.21,3.26,92.31,2.45,1.98,3.26,91.14,3.03,2.33,3.50,100.00,0.00,0.00,0.00,99.58,0.37,0.02,0.02,0.01
289,51.02.04.2014,Kesiut,Kerambitan,Tabanan,Bali,91.83,1.69,1.65,4.84,91.31,1.65,1.87,5.17,91.57,1.61,1.80,5.02,90.98,1.80,1.87,5.35,100.00,0.00,0.00,0.00,99.53,0.43,0.02,0.02,0.01
290,51.04.01.2002,Ketewel,Sukawati,Gianyar,Bali,82.00,11.40,4.69,1.92,78.22,12.44,6.56,2.77,80.42,11.80,5.54,2.25,75.66,13.31,7.22,3.80,0.00,0.00,0.00,100.00,99.42,0.50,0.03,0.03,0.03
291,51.06.04.2029,Kintamani,Kintamani,Bangli,Bali,94.04,0.88,0.69,4.39,93.69,0.84,0.73,4.75,93.87,0.87,0.73,4.53,93.35,0.92,0.71,5.02,100.00,0.00,0.00,0.00,99.67,0.30,0.01,0.01,0.00
292,51.05.01.2003,Klumpu,Nusa Penida,Klungkung,Bali,93.30,1.57,1.41,3.71,92.62,1.77,1.44,4.17,92.90,1.74,1.45,3.91,92.00,1.99,1.48,4.53,100.00,0.00,0.00,0.00,99.35,0.53,0.05,0.04,0.02
293,51.06.02.1006,Kubu,Bangli,Bangli,Bali,92.99,1.19,0.89,4.93,92.38,1.17,0.99,5.46,92.81,1.02,0.99,5.18,91.84,1.27,1.12,5.77,100.00,0.00,0.00,0.00,99.47,0.44,0.03,0.03,0.02
294,51.07.08.2003,Kubu,Kubu,Karangasem,Bali,96.02,0.91,0.83,2.23,95.71,0.87,0.88,2.54,95.73,0.98,0.88,2.40,95.09,1.06,0.90,2.96,100.00,0.00,0.00,0.00,99.29,0.61,0.04,0.04,0.03
295,51.08.08.2011,Kubutambahan,Kubutambahan,Buleleng,Bali,87.66,6.92,2.28,3.14,83.98,8.07,3.62,4.33,86.35,7.59,2.59,3.47,83.24,8.60,3.94,4.22,95.28,4.72,0.00,0.00,99.39,0.51,0.04,0.04,0.03
296,51.02.04.2009,Kukuh,Kerambitan,Tabanan,Bali,82.36,4.45,2.61,10.57,80.84,4.45,3.00,11.71,81.66,4.56,2.65,11.12,80.10,4.14,3.59,12.17,100.00,0.00,0.00,0.00,99.49,0.40,0.04,0.04,0.03
297,51.02.07.2001,Kukuh,Marga,Tabanan,Bali,90.73,2.95,1.44,4.89,89.99,3.52,1.51,4.98,90.45,3.26,1.46,4.84,89.46,3.74,1.63,5.17,100.00,0.00,0.00,0.00,99.40,0.49,0.05,0.04,0.03
298,51.05.04.2006,Kusamba,Dawan,Klungkung,Bali,75.30,19.19,4.40,1.11,71.25,20.74,6.42,1.59,73.59,19.98,5.15,1.27,68.52,22.01,6.98,2.50,0.00,0.00,0.00,100.00,99.44,0.44,0.04,0.04,0.03
299,51.03.01.1002,Kuta,Kuta,Badung,Bali,81.32,11.97,4.64,2.06,78.93,12.97,5.46,2.64,80.29,12.49,4.95,2.27,77.47,13.20,6.14,3.19,0.00,0.00,0.00,100.00,99.28,0.58,0.06,0.05,0.03
300,51.05.01.2009,Kutampi,Nusa Penida,Klungkung,Bali,92.89,1.00,0.89,5.22,92.48,1.07,0.84,5.60,92.65,1.08,0.85,5.42,91.97,1.12,0.90,6.01,100.00,0.00,0.00,0.00,99.43,0.47,0.04,0.04,0.03
301,51.05.01.2015,Kutampi Kaler,Nusa Penida,Klungkung,Bali,92.97,1.51,1.03,4.48,92.40,1.49,1.08,5.02,92.63,1.49,1.06,4.82,92.10,1.42,1.17,5.31,87.77,3.72,5.32,3.19,99.40,0.51,0.04,0.03,0.02
302,51.03.05.2003,Kutuh,Kuta Selatan,Badung,Bali,91.17,3.12,2.19,3.53,90.43,3.22,2.29,4.06,90.66,3.18,2.29,3.87,89.62,3.35,2.42,4.61,92.16,7.06,0.78,0.00,99.53,0.41,0.02,0.02,0.01
