Village Code,Village,District,Regency/City,Province,Household,Total Population,D1_Disabled Male Ratio,D2_Disabled Female Ratio,D3_Non Disabled Male Ratio,D4_Non Disable Female Ratio,A1_Children Ratio,A2_Adolescent Ratio,A3_Young Adults Ratio,A4_Middle Age Ratio,A5_Elderly Ratio,A6_Senior Ratio,D1A1,D1A2,D1A3,D1A4,D1A5,D1A6,D2A1,D2A2,D2A3,D2A4,D2A5,D2A6,D3A1,D3A2,D3A3,D3A4,D3A5,D3A6,D4A1,D4A2,D4A3,D4A4,D4A5,D4A6
51.02.09.2005,Bangli,Baturiti,Tabanan,Bali,1514,4882,0.0037,0.0016,0.5061,0.4885,0.1141,0.1438,0.281,0.2958,0.0979,0.0674,0.0004,0.0005,0.001,0.0011,0.0004,0.0002,0.0002,0.0002,0.0005,0.0005,0.0002,0.0001,0.0577,0.0728,0.1422,0.1497,0.0496,0.0341,0.0557,0.0702,0.1373,0.1445,0.0478,0.0329
51.08.04.2013,Banjar,Banjar,Buleleng,Bali,3908,11812,0.0063,0.0036,0.4997,0.4904,0.1314,0.1592,0.2913,0.2731,0.0834,0.0615,0.0008,0.001,0.0018,0.0017,0.0005,0.0004,0.0005,0.0006,0.0011,0.001,0.0003,0.0002,0.0657,0.0796,0.1456,0.1365,0.0417,0.0308,0.0644,0.0781,0.1429,0.1339,0.0409,0.0302
51.02.06.2015,Banjar Anyar,Kediri,Tabanan,Bali,5704,18660,0.0026,0.0028,0.4968,0.4977,0.1303,0.1556,0.2907,0.2986,0.0796,0.0452,0.0003,0.0004,0.0007,0.0008,0.0002,0.0001,0.0004,0.0004,0.0008,0.0008,0.0002,0.0001,0.0648,0.0773,0.1444,0.1484,0.0395,0.0225,0.0649,0.0774,0.1447,0.1486,0.0396,0.0225
51.08.06.1027,Banjar Bali,Buleleng,Buleleng,Bali,790,2675,0.0052,0.0052,0.4897,0.4998,0.1297,0.2224,0.2636,0.2658,0.0643,0.0542,0.0007,0.0012,0.0014,0.0014,0.0003,0.0003,0.0007,0.0012,0.0014,0.0014,0.0003,0.0003,0.0635,0.1089,0.1291,0.1302,0.0315,0.0265,0.0648,0.1112,0.1317,0.1328,0.0321,0.0271
51.08.06.1023,Banjar Jawa,Buleleng,Buleleng,Bali,1679,5610,0.0025,0.0005,0.5027,0.4943,0.1572,0.1877,0.2806,0.2503,0.0704,0.0538,0.0004,0.0005,0.0007,0.0006,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0,0,0.079,0.0944,0.141,0.1258,0.0354,0.0271,0.0777,0.0928,0.1387,0.1237,0.0348,0.0266
51.08.06.1007,Banjar Tegal,Buleleng,Buleleng,Bali,1409,4202,0.0029,0.001,0.4995,0.4967,0.1328,0.1621,0.2965,0.257,0.0881,0.0635,0.0004,0.0005,0.0008,0.0007,0.0003,0.0002,0.0001,0.0002,0.0003,0.0002,0.0001,0.0001,0.0663,0.081,0.1481,0.1284,0.044,0.0317,0.066,0.0805,0.1473,0.1277,0.0437,0.0316
51.08.04.2012,Banjar Tegeha,Banjar,Buleleng,Bali,1001,2901,0.0124,0.0097,0.4871,0.4909,0.1244,0.1562,0.2758,0.2882,0.09,0.0655,0.0015,0.0019,0.0034,0.0036,0.0011,0.0008,0.0012,0.0015,0.0027,0.0028,0.0009,0.0006,0.0606,0.0761,0.1343,0.1404,0.0438,0.0319,0.0611,0.0767,0.1354,0.1415,0.0442,0.0321
51.01.01.1008,Banjar Tengah,Negara,Jembrana,Bali,2121,6203,0.0011,0.0008,0.5297,0.4683,0.1499,0.1296,0.3685,0.2336,0.0767,0.0416,0.0002,0.0001,0.0004,0.0003,0.0001,0,0.0001,0.0001,0.0003,0.0002,0.0001,0,0.0794,0.0687,0.1952,0.1237,0.0407,0.022,0.0702,0.0607,0.1726,0.1094,0.0359,0.0195
51.05.02.2003,Banjarangkan,Banjarangkan,Klungkung,Bali,1371,5577,0.0059,0.003,0.4836,0.5074,0.1286,0.1549,0.2695,0.2806,0.0979,0.0685,0.0008,0.0009,0.0016,0.0017,0.0006,0.0004,0.0004,0.0005,0.0008,0.0009,0.0003,0.0002,0.0622,0.0749,0.1303,0.1357,0.0473,0.0331,0.0652,0.0786,0.1368,0.1424,0.0497,0.0348
51.08.02.2019,Banjarasem,Seririt,Buleleng,Bali,1924,5922,0.0027,0.0008,0.4958,0.5007,0.142,0.1657,0.2906,0.271,0.0765,0.0542,0.0004,0.0004,0.0008,0.0007,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0,0.0704,0.0821,0.1441,0.1344,0.0379,0.0269,0.0711,0.0829,0.1455,0.1357,0.0383,0.0271
51.06.04.2042,Bantang,Kintamani,Bangli,Bali,521,1816,0.0072,0.0033,0.5171,0.4725,0.1487,0.1762,0.2935,0.2533,0.0776,0.0507,0.0011,0.0013,0.0021,0.0018,0.0006,0.0004,0.0005,0.0006,0.001,0.0008,0.0003,0.0002,0.0769,0.0911,0.1518,0.131,0.0401,0.0262,0.0702,0.0833,0.1387,0.1197,0.0367,0.0239
51.02.02.2003,Bantas,Selemadeg Timur,Tabanan,Bali,1116,3366,0.0089,0.0045,0.4887,0.4979,0.109,0.1141,0.262,0.3066,0.115,0.0933,0.001,0.001,0.0023,0.0027,0.001,0.0008,0.0005,0.0005,0.0012,0.0014,0.0005,0.0004,0.0533,0.0558,0.1281,0.1498,0.0562,0.0456,0.0543,0.0568,0.1305,0.1527,0.0572,0.0464
51.06.04.2012,Banua,Kintamani,Bangli,Bali,227,728,0,0,0.5027,0.4973,0.1277,0.1113,0.2843,0.2995,0.1071,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0.0642,0.0559,0.143,0.1505,0.0539,0.0352,0.0635,0.0553,0.1414,0.1489,0.0533,0.0348
51.01.01.2003,Banyu Biru,Negara,Jembrana,Bali,3354,10711,0.0018,0.001,0.5093,0.4879,0.1567,0.1756,0.2879,0.2737,0.0656,0.0404,0.0003,0.0003,0.0005,0.0005,0.0001,0.0001,0.0002,0.0002,0.0003,0.0003,0.0001,0,0.0798,0.0894,0.1466,0.1394,0.0334,0.0206,0.0764,0.0857,0.1405,0.1336,0.032,0.0197
51.08.06.1006,Banyuasri,Buleleng,Buleleng,Bali,3193,9816,0.0003,0.0004,0.501,0.4983,0.1415,0.1674,0.302,0.2613,0.084,0.0438,0,0.0001,0.0001,0.0001,0,0,0.0001,0.0001,0.0001,0.0001,0,0,0.0709,0.0839,0.1513,0.1309,0.0421,0.0219,0.0705,0.0834,0.1505,0.1302,0.0419,0.0218
