Climate Change,Regency/City,Province,Exposure,Model,Threshold (PML 25y),AAL,PML 10y,TVaR 10y,PML 25y,TVaR 25y,PML 50y,TVaR 50y,PML 100y,TVaR 100y,PML 250y,TVaR 250y
1,Gianyar,Bali,Rice Field in 2022,Pareto,643.344406319487,25.94743002213,638.614946957946,643.857255897254,643.344406319487,648.685750553255,647.02023793765,652.389800704667,650.743178630321,656.04975415857,655.630040938355,661.00584398199
1,Jembrana,Bali,Rice Field in 2022,Pareto,255.283519722268,10.601667604828,246.99613806069,256.331152203126,255.283519722268,265.041690120686,261.872440940762,271.875936412876,268.679631640526,278.764888212896,277.822621636186,288.301897607627
1,Klungkung,Bali,Rice Field in 2022,Pareto,116.421212260501,4.665527303974,116.227322808268,116.441490091505,116.421212260501,116.638182599346,116.571146456754,116.788313618096,116.722331583231,116.935998786532,116.919769521901,117.135002196863
1,Buleleng,Bali,Rice Field in 2022,Pareto,433.001740793035,17.522235379121,428.547922043434,433.493691337915,433.001740793035,438.055884478014,436.472428878068,441.564774316457,439.995670554438,445.039894915332,444.632686793121,449.757728281808
1,Tabanan,Bali,Rice Field in 2022,Pareto,851.845563003657,34.37690756547,845.142091476503,852.574847468928,851.845563003657,859.422689136745,857.058046359009,864.678239669075,862.339468023726,869.873334498662,869.275290161901,876.911389023139
1,Karangasem,Bali,Rice Field in 2022,Pareto,276.324421608671,11.169407695894,273.755249244341,276.606449331881,276.324421608671,279.235192397345,278.324708892524,281.255246452846,280.353715041908,283.25430525306,283.021747642764,285.965897743016
1,Badung,Bali,Rice Field in 2022,Pareto,470.040286603232,19.122813126188,463.017836211873,470.838743503633,470.040286603232,478.070328154699,475.535502409661,483.655411731041,481.134340088034,489.207086487003,488.534289369402,496.774759053059
1,Bangli,Bali,Rice Field in 2022,Pareto,128.33155578753,5.178034836437,127.341056189686,128.439211719166,128.33155578753,129.450870910918,129.101644297726,130.227190551877,129.881825654924,130.994489029217,130.9062583346,132.033850099918
0,Denpasar City,Bali,Rice Field in 2025,Pareto,93.0695081182776,3.8749960250371,89.8493969670994,93.4817405214134,93.0695081182776,96.8749006259278,95.6346834133917,99.5423280280433,98.2893762116632,102.235734359942,101.862066575618,105.97157205194
0,Gianyar,Bali,Rice Field in 2025,Pareto,499.354286500869,20.1675099670067,495.082889869046,499.820987433741,499.354286500869,504.187749175169,502.67766889644,507.541166866244,506.046806370862,510.857791822598,510.474060160351,515.353665086038
0,Jembrana,Bali,Rice Field in 2025,Pareto,202.435500876153,8.3926891327794,196.151260604548,203.223245381283,202.435500876153,209.817228319484,207.425333498475,214.984175736141,212.574606732481,220.186540592998,219.481693108582,227.379552846911
0,Klungkung,Bali,Rice Field in 2025,Lognormal,95.2067802989473,3.8228974461731,94.7784553233083,95.2092622894066,95.2067802989473,95.5724361543275,95.4810418255599,95.8140199183753,95.7264609803553,96.0360213330915,96.0221369277744,96.3055639572433
0,Buleleng,Bali,Rice Field in 2025,Lognormal,405.117585304616,16.2581634529022,403.550768363484,405.126285150738,405.117585304616,406.454086322556,406.12031600778,407.33693211414,407.017252486062,408.147933210627,408.097433848436,409.13224819604
0,Tabanan,Bali,Rice Field in 2025,Pareto,775.390997856238,31.3366446743379,768.305831205428,776.167981759792,775.390997856238,783.416116858447,780.90652506157,788.985144782396,786.500540134331,794.495597841788,793.855300110267,801.9691250142
0,Karangasem,Bali,Rice Field in 2025,Pareto,252.113221954339,10.1806314263117,249.989592566006,252.345063297141,252.113221954339,254.515785657793,253.76533020223,256.182580495723,255.44001321831,257.830918727637,257.640390092782,260.065080992973
0,Badung,Bali,Rice Field in 2025,Pareto,412.831038067374,16.7613800831332,407.390245837771,413.442946068482,412.831038067374,419.03450207833,417.081844222536,423.346185659025,421.40681710095,427.626121064397,427.113964079225,433.451263924571
0,Bangli,Bali,Rice Field in 2025,Lognormal,89.4898786193914,3.5930948686447,89.0945026059474,89.4921574257325,89.4898786193914,89.8273717161174,89.7430257184178,90.0503435009285,89.9695398234184,90.2552324478581,90.2424254786463,90.5039863391527
1,Denpasar City,Bali,Rice Field in 2025,Pareto,94.9423609343737,3.9372013152653,91.9743205234381,95.3148947076996,94.9423609343737,98.430032881633,97.2995239535547,100.871492152372,99.732430428916,103.330117820802,102.996520542782,106.730179203473
