Regency/City,Province,Exposure,Climate Change,CV,AAL,Lognormal_Mean,Lognormal_Median,VaR_95%,TVaR_95%,VaR_99%,TVaR_99%,PML_25,PML_50,PML_100,PML_250,Prob_Any_Loss (%),μ,σ
Karangasem,Bali,Educational Facilities,0,0.75,379176558.0,379176558.0,303341246.4,910230904.1,6337310491.0,1435069634.0,36073780878.0,976914738.4,1196145605.0,1435069634.0,1783916110.0,3.9239,19.53036896,0.668047231
Karangasem,Bali,Educational Facilities,0,0.85,379547134.8,379547134.8,289191884.9,972651190.4,6208732989.0,1607712577.0,35827827898.0,1051599548.0,1314944702.0,1607712577.0,2044194308.0,3.9239,19.48260099,0.73741218
Karangasem,Bali,Educational Facilities,0,0.95,379908298.3,379908298.3,275433301.1,1030172992.0,6081199575.0,1779389231.0,35570503266.0,1121427066.0,1429967603.0,1779389231.0,2310564858.0,3.9239,19.43385606,0.801978061
Klungkung,Bali,Educational Facilities,0,0.15,1057366416.0,1057366416.0,1045668087.0,1336444675.0,19722683834.0,1479447771.0,104179000000.0,1357710063.0,1420496261.0,1479447771.0,1553104222.0,3.9239,20.76792184,0.14916638
Klungkung,Bali,Educational Facilities,0,0.25,1058405986.0,1058405986.0,1026804630.0,1539486089.0,19454316149.0,1820746583.0,103855000000.0,1580129473.0,1702549998.0,1820746583.0,1972784709.0,3.9239,20.74971752,0.246220677
Klungkung,Bali,Educational Facilities,0,0.35,1059475476.0,1059475476.0,999994781.2,1749174977.0,19156144812.0,2205183057.0,103458000000.0,1813249940.0,2010017803.0,2205183057.0,2463384027.0,3.9239,20.72326062,0.339938731
Klungkung,Bali,Educational Facilities,0,0.45,1060559859.0,1060559859.0,967147343.2,1959973384.0,18833408449.0,2626308097.0,102989000000.0,2051102817.0,2336185033.0,2626308097.0,3020586619.0,3.9239,20.68986141,0.429421382
Klungkung,Bali,Educational Facilities,0,0.55,1061645859.0,1061645859.0,930230990.9,2166852387.0,18492242817.0,3075978213.0,102452000000.0,2288010565.0,2673753718.0,3075978213.0,3636684434.0,3.9239,20.65094349,0.51408705
Klungkung,Bali,Educational Facilities,0,0.65,1062722660.0,1062722660.0,891033029.9,2365731861.0,18138939711.0,3545410475.0,101854000000.0,2519132168.0,3015683749.0,3545410475.0,4301731225.0,3.9239,20.60789206,0.593646264
Klungkung,Bali,Educational Facilities,0,0.75,1063782072.0,1063782072.0,851025657.7,2553658176.0,17779362001.0,4026096332.0,101205000000.0,2740740066.0,3355793556.0,4026096332.0,5004787180.0,3.9239,20.56195284,0.668047231
Klungkung,Bali,Educational Facilities,0,0.85,1064818318.0,1064818318.0,811326942.9,2728769920.0,17418581289.0,4510432684.0,100515000000.0,2950259293.0,3689073313.0,4510432684.0,5734980838.0,3.9239,20.51418167,0.73741218
Klungkung,Bali,Educational Facilities,0,0.95,1065827630.0,1065827630.0,772724428.4,2890136499.0,17060723768.0,4992052599.0,99792569378.0,3146148578.0,4011754912.0,4992052599.0,6482258689.0,3.9239,20.46543305,0.801978061
Tabanan,Bali,Educational Facilities,0,0.15,1182762951.0,1182762951.0,1169677279.0,1494938011.0,22061661277.0,1654900310.0,116534000000.0,1518725330.0,1588957548.0,1654900310.0,1737291921.0,3.9239,20.87999372,0.14916638
Tabanan,Bali,Educational Facilities,0,0.25,1183919108.0,1183919108.0,1148570244.0,1722049027.0,21761343881.0,2036663340.0,116171000000.0,1767512185.0,1904450185.0,2036663340.0,2206731202.0,3.9239,20.86178374,0.246220677
Tabanan,Bali,Educational Facilities,0,0.35,1185110316.0,1185110316.0,1118576275.0,1956595842.0,21427720934.0,2466678323.0,115727000000.0,2028268948.0,2248369960.0,2466678323.0,2755497309.0,3.9239,20.83532253,0.339938731
Tabanan,Bali,Educational Facilities,0,0.45,1186320761.0,1186320761.0,1081831414.0,2192386497.0,21066668931.0,2937735001.0,115201000000.0,2294322034.0,2613209222.0,2937735001.0,3378766964.0,3.9239,20.8019212,0.429421382
Tabanan,Bali,Educational Facilities,0,0.55,1187536244.0,1187536244.0,1040538149.0,2423798600.0,20685060280.0,3440728925.0,114600000000.0,2559323762.0,2990808490.0,3440728925.0,4067923911.0,3.9239,20.76300387,0.51408705
Tabanan,Bali,Educational Facilities,0,0.65,1188745008.0,1188745008.0,996695663.3,2646270798.0,20289935324.0,3965840913.0,113932000000.0,2817861990.0,3373296852.0,3965840913.0,4811849520.0,3.9239,20.71995603,0.593646264
Tabanan,Bali,Educational Facilities,0,0.75,1189937972.0,1189937972.0,951950377.5,2856501261.0,19887849697.0,4503558604.0,113207000000.0,3065769542.0,3753763372.0,4503558604.0,5598314225.0,3.9239,20.67402347,0.668047231
Tabanan,Bali,Educational Facilities,0,0.85,1191108569.0,1191108569.0,907552450.8,3052409205.0,19484470811.0,5045381856.0,112436000000.0,3300167800.0,4126607104.0,5045381856.0,6415164638.0,3.9239,20.62626192,0.73741218
Tabanan,Bali,Educational Facilities,0,0.95,1192252364.0,1192252364.0,864382288.9,3232954350.0,19084406961.0,5584192363.0,111630000000.0,3519333684.0,4487615204.0,5584192363.0,7251161470.0,3.9239,20.57752569,0.801978061
